sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
1	expected	1	1	laugh	simple-agrmt	the author laughs	3
2	unexpected	1	1	laugh	simple-agrmt	the author laugh	3
3	expected	2	2	swim	simple-agrmt	the author swims	3
4	unexpected	2	2	swim	simple-agrmt	the author swim	3
5	expected	3	3	smile	simple-agrmt	the author smiles	3
6	unexpected	3	3	smile	simple-agrmt	the author smile	3
7	expected	4	4	be	simple-agrmt	the author is tall	3
8	unexpected	4	4	be	simple-agrmt	the author are tall	3
9	expected	5	5	be	simple-agrmt	the author is old	3
10	unexpected	5	5	be	simple-agrmt	the author are old	3
11	expected	6	6	be	simple-agrmt	the author is young	3
12	unexpected	6	6	be	simple-agrmt	the author are young	3
13	expected	7	7	be	simple-agrmt	the author is short	3
14	unexpected	7	7	be	simple-agrmt	the author are short	3
15	expected	8	8	laugh	simple-agrmt	the pilot laughs	3
16	unexpected	8	8	laugh	simple-agrmt	the pilot laugh	3
17	expected	9	9	swim	simple-agrmt	the pilot swims	3
18	unexpected	9	9	swim	simple-agrmt	the pilot swim	3
19	expected	10	10	smile	simple-agrmt	the pilot smiles	3
20	unexpected	10	10	smile	simple-agrmt	the pilot smile	3
21	expected	11	11	be	simple-agrmt	the pilot is tall	3
22	unexpected	11	11	be	simple-agrmt	the pilot are tall	3
23	expected	12	12	be	simple-agrmt	the pilot is old	3
24	unexpected	12	12	be	simple-agrmt	the pilot are old	3
25	expected	13	13	be	simple-agrmt	the pilot is young	3
26	unexpected	13	13	be	simple-agrmt	the pilot are young	3
27	expected	14	14	be	simple-agrmt	the pilot is short	3
28	unexpected	14	14	be	simple-agrmt	the pilot are short	3
29	expected	15	15	laugh	simple-agrmt	the surgeon laughs	3
30	unexpected	15	15	laugh	simple-agrmt	the surgeon laugh	3
31	expected	16	16	swim	simple-agrmt	the surgeon swims	3
32	unexpected	16	16	swim	simple-agrmt	the surgeon swim	3
33	expected	17	17	smile	simple-agrmt	the surgeon smiles	3
34	unexpected	17	17	smile	simple-agrmt	the surgeon smile	3
35	expected	18	18	be	simple-agrmt	the surgeon is tall	3
36	unexpected	18	18	be	simple-agrmt	the surgeon are tall	3
37	expected	19	19	be	simple-agrmt	the surgeon is old	3
38	unexpected	19	19	be	simple-agrmt	the surgeon are old	3
39	expected	20	20	be	simple-agrmt	the surgeon is young	3
40	unexpected	20	20	be	simple-agrmt	the surgeon are young	3
41	expected	21	21	be	simple-agrmt	the surgeon is short	3
42	unexpected	21	21	be	simple-agrmt	the surgeon are short	3
43	expected	22	22	laugh	simple-agrmt	the farmer laughs	3
44	unexpected	22	22	laugh	simple-agrmt	the farmer laugh	3
45	expected	23	23	swim	simple-agrmt	the farmer swims	3
46	unexpected	23	23	swim	simple-agrmt	the farmer swim	3
47	expected	24	24	smile	simple-agrmt	the farmer smiles	3
48	unexpected	24	24	smile	simple-agrmt	the farmer smile	3
49	expected	25	25	be	simple-agrmt	the farmer is tall	3
50	unexpected	25	25	be	simple-agrmt	the farmer are tall	3
51	expected	26	26	be	simple-agrmt	the farmer is old	3
52	unexpected	26	26	be	simple-agrmt	the farmer are old	3
53	expected	27	27	be	simple-agrmt	the farmer is young	3
54	unexpected	27	27	be	simple-agrmt	the farmer are young	3
55	expected	28	28	be	simple-agrmt	the farmer is short	3
56	unexpected	28	28	be	simple-agrmt	the farmer are short	3
57	expected	29	29	laugh	simple-agrmt	the manager laughs	3
58	unexpected	29	29	laugh	simple-agrmt	the manager laugh	3
59	expected	30	30	swim	simple-agrmt	the manager swims	3
60	unexpected	30	30	swim	simple-agrmt	the manager swim	3
61	expected	31	31	smile	simple-agrmt	the manager smiles	3
62	unexpected	31	31	smile	simple-agrmt	the manager smile	3
63	expected	32	32	be	simple-agrmt	the manager is tall	3
64	unexpected	32	32	be	simple-agrmt	the manager are tall	3
65	expected	33	33	be	simple-agrmt	the manager is old	3
66	unexpected	33	33	be	simple-agrmt	the manager are old	3
67	expected	34	34	be	simple-agrmt	the manager is young	3
68	unexpected	34	34	be	simple-agrmt	the manager are young	3
69	expected	35	35	be	simple-agrmt	the manager is short	3
70	unexpected	35	35	be	simple-agrmt	the manager are short	3
71	expected	36	36	laugh	simple-agrmt	the customer laughs	3
72	unexpected	36	36	laugh	simple-agrmt	the customer laugh	3
73	expected	37	37	swim	simple-agrmt	the customer swims	3
74	unexpected	37	37	swim	simple-agrmt	the customer swim	3
75	expected	38	38	smile	simple-agrmt	the customer smiles	3
76	unexpected	38	38	smile	simple-agrmt	the customer smile	3
77	expected	39	39	be	simple-agrmt	the customer is tall	3
78	unexpected	39	39	be	simple-agrmt	the customer are tall	3
79	expected	40	40	be	simple-agrmt	the customer is old	3
80	unexpected	40	40	be	simple-agrmt	the customer are old	3
81	expected	41	41	be	simple-agrmt	the customer is young	3
82	unexpected	41	41	be	simple-agrmt	the customer are young	3
83	expected	42	42	be	simple-agrmt	the customer is short	3
84	unexpected	42	42	be	simple-agrmt	the customer are short	3
85	expected	43	43	laugh	simple-agrmt	the officer laughs	3
86	unexpected	43	43	laugh	simple-agrmt	the officer laugh	3
87	expected	44	44	swim	simple-agrmt	the officer swims	3
88	unexpected	44	44	swim	simple-agrmt	the officer swim	3
89	expected	45	45	smile	simple-agrmt	the officer smiles	3
90	unexpected	45	45	smile	simple-agrmt	the officer smile	3
91	expected	46	46	be	simple-agrmt	the officer is tall	3
92	unexpected	46	46	be	simple-agrmt	the officer are tall	3
93	expected	47	47	be	simple-agrmt	the officer is old	3
94	unexpected	47	47	be	simple-agrmt	the officer are old	3
95	expected	48	48	be	simple-agrmt	the officer is young	3
96	unexpected	48	48	be	simple-agrmt	the officer are young	3
97	expected	49	49	be	simple-agrmt	the officer is short	3
98	unexpected	49	49	be	simple-agrmt	the officer are short	3
99	expected	50	50	laugh	simple-agrmt	the teacher laughs	3
100	unexpected	50	50	laugh	simple-agrmt	the teacher laugh	3
101	expected	51	51	swim	simple-agrmt	the teacher swims	3
102	unexpected	51	51	swim	simple-agrmt	the teacher swim	3
103	expected	52	52	smile	simple-agrmt	the teacher smiles	3
104	unexpected	52	52	smile	simple-agrmt	the teacher smile	3
105	expected	53	53	be	simple-agrmt	the teacher is tall	3
106	unexpected	53	53	be	simple-agrmt	the teacher are tall	3
107	expected	54	54	be	simple-agrmt	the teacher is old	3
108	unexpected	54	54	be	simple-agrmt	the teacher are old	3
109	expected	55	55	be	simple-agrmt	the teacher is young	3
110	unexpected	55	55	be	simple-agrmt	the teacher are young	3
111	expected	56	56	be	simple-agrmt	the teacher is short	3
112	unexpected	56	56	be	simple-agrmt	the teacher are short	3
113	expected	57	57	laugh	simple-agrmt	the senator laughs	3
114	unexpected	57	57	laugh	simple-agrmt	the senator laugh	3
115	expected	58	58	swim	simple-agrmt	the senator swims	3
116	unexpected	58	58	swim	simple-agrmt	the senator swim	3
117	expected	59	59	smile	simple-agrmt	the senator smiles	3
118	unexpected	59	59	smile	simple-agrmt	the senator smile	3
119	expected	60	60	be	simple-agrmt	the senator is tall	3
120	unexpected	60	60	be	simple-agrmt	the senator are tall	3
121	expected	61	61	be	simple-agrmt	the senator is old	3
122	unexpected	61	61	be	simple-agrmt	the senator are old	3
123	expected	62	62	be	simple-agrmt	the senator is young	3
124	unexpected	62	62	be	simple-agrmt	the senator are young	3
125	expected	63	63	be	simple-agrmt	the senator is short	3
126	unexpected	63	63	be	simple-agrmt	the senator are short	3
127	expected	64	64	laugh	simple-agrmt	the consultant laughs	3
128	unexpected	64	64	laugh	simple-agrmt	the consultant laugh	3
129	expected	65	65	swim	simple-agrmt	the consultant swims	3
130	unexpected	65	65	swim	simple-agrmt	the consultant swim	3
131	expected	66	66	smile	simple-agrmt	the consultant smiles	3
132	unexpected	66	66	smile	simple-agrmt	the consultant smile	3
133	expected	67	67	be	simple-agrmt	the consultant is tall	3
134	unexpected	67	67	be	simple-agrmt	the consultant are tall	3
135	expected	68	68	be	simple-agrmt	the consultant is old	3
136	unexpected	68	68	be	simple-agrmt	the consultant are old	3
137	expected	69	69	be	simple-agrmt	the consultant is young	3
138	unexpected	69	69	be	simple-agrmt	the consultant are young	3
139	expected	70	70	be	simple-agrmt	the consultant is short	3
140	unexpected	70	70	be	simple-agrmt	the consultant are short	3
141	expected	71	71	laugh	simple-agrmt	the authors laugh	3
142	unexpected	71	71	laugh	simple-agrmt	the authors laughs	3
143	expected	72	72	swim	simple-agrmt	the authors swim	3
144	unexpected	72	72	swim	simple-agrmt	the authors swims	3
145	expected	73	73	smile	simple-agrmt	the authors smile	3
146	unexpected	73	73	smile	simple-agrmt	the authors smiles	3
147	expected	74	74	be	simple-agrmt	the authors are tall	3
148	unexpected	74	74	be	simple-agrmt	the authors is tall	3
149	expected	75	75	be	simple-agrmt	the authors are old	3
150	unexpected	75	75	be	simple-agrmt	the authors is old	3
151	expected	76	76	be	simple-agrmt	the authors are young	3
152	unexpected	76	76	be	simple-agrmt	the authors is young	3
153	expected	77	77	be	simple-agrmt	the authors are short	3
154	unexpected	77	77	be	simple-agrmt	the authors is short	3
155	expected	78	78	laugh	simple-agrmt	the pilots laugh	3
156	unexpected	78	78	laugh	simple-agrmt	the pilots laughs	3
157	expected	79	79	swim	simple-agrmt	the pilots swim	3
158	unexpected	79	79	swim	simple-agrmt	the pilots swims	3
159	expected	80	80	smile	simple-agrmt	the pilots smile	3
160	unexpected	80	80	smile	simple-agrmt	the pilots smiles	3
161	expected	81	81	be	simple-agrmt	the pilots are tall	3
162	unexpected	81	81	be	simple-agrmt	the pilots is tall	3
163	expected	82	82	be	simple-agrmt	the pilots are old	3
164	unexpected	82	82	be	simple-agrmt	the pilots is old	3
165	expected	83	83	be	simple-agrmt	the pilots are young	3
166	unexpected	83	83	be	simple-agrmt	the pilots is young	3
167	expected	84	84	be	simple-agrmt	the pilots are short	3
168	unexpected	84	84	be	simple-agrmt	the pilots is short	3
169	expected	85	85	laugh	simple-agrmt	the surgeons laugh	3
170	unexpected	85	85	laugh	simple-agrmt	the surgeons laughs	3
171	expected	86	86	swim	simple-agrmt	the surgeons swim	3
172	unexpected	86	86	swim	simple-agrmt	the surgeons swims	3
173	expected	87	87	smile	simple-agrmt	the surgeons smile	3
174	unexpected	87	87	smile	simple-agrmt	the surgeons smiles	3
175	expected	88	88	be	simple-agrmt	the surgeons are tall	3
176	unexpected	88	88	be	simple-agrmt	the surgeons is tall	3
177	expected	89	89	be	simple-agrmt	the surgeons are old	3
178	unexpected	89	89	be	simple-agrmt	the surgeons is old	3
179	expected	90	90	be	simple-agrmt	the surgeons are young	3
180	unexpected	90	90	be	simple-agrmt	the surgeons is young	3
181	expected	91	91	be	simple-agrmt	the surgeons are short	3
182	unexpected	91	91	be	simple-agrmt	the surgeons is short	3
183	expected	92	92	laugh	simple-agrmt	the farmers laugh	3
184	unexpected	92	92	laugh	simple-agrmt	the farmers laughs	3
185	expected	93	93	swim	simple-agrmt	the farmers swim	3
186	unexpected	93	93	swim	simple-agrmt	the farmers swims	3
187	expected	94	94	smile	simple-agrmt	the farmers smile	3
188	unexpected	94	94	smile	simple-agrmt	the farmers smiles	3
189	expected	95	95	be	simple-agrmt	the farmers are tall	3
190	unexpected	95	95	be	simple-agrmt	the farmers is tall	3
191	expected	96	96	be	simple-agrmt	the farmers are old	3
192	unexpected	96	96	be	simple-agrmt	the farmers is old	3
193	expected	97	97	be	simple-agrmt	the farmers are young	3
194	unexpected	97	97	be	simple-agrmt	the farmers is young	3
195	expected	98	98	be	simple-agrmt	the farmers are short	3
196	unexpected	98	98	be	simple-agrmt	the farmers is short	3
197	expected	99	99	laugh	simple-agrmt	the managers laugh	3
198	unexpected	99	99	laugh	simple-agrmt	the managers laughs	3
199	expected	100	100	swim	simple-agrmt	the managers swim	3
200	unexpected	100	100	swim	simple-agrmt	the managers swims	3
201	expected	101	101	smile	simple-agrmt	the managers smile	3
202	unexpected	101	101	smile	simple-agrmt	the managers smiles	3
203	expected	102	102	be	simple-agrmt	the managers are tall	3
204	unexpected	102	102	be	simple-agrmt	the managers is tall	3
205	expected	103	103	be	simple-agrmt	the managers are old	3
206	unexpected	103	103	be	simple-agrmt	the managers is old	3
207	expected	104	104	be	simple-agrmt	the managers are young	3
208	unexpected	104	104	be	simple-agrmt	the managers is young	3
209	expected	105	105	be	simple-agrmt	the managers are short	3
210	unexpected	105	105	be	simple-agrmt	the managers is short	3
211	expected	106	106	laugh	simple-agrmt	the customers laugh	3
212	unexpected	106	106	laugh	simple-agrmt	the customers laughs	3
213	expected	107	107	swim	simple-agrmt	the customers swim	3
214	unexpected	107	107	swim	simple-agrmt	the customers swims	3
215	expected	108	108	smile	simple-agrmt	the customers smile	3
216	unexpected	108	108	smile	simple-agrmt	the customers smiles	3
217	expected	109	109	be	simple-agrmt	the customers are tall	3
218	unexpected	109	109	be	simple-agrmt	the customers is tall	3
219	expected	110	110	be	simple-agrmt	the customers are old	3
220	unexpected	110	110	be	simple-agrmt	the customers is old	3
221	expected	111	111	be	simple-agrmt	the customers are young	3
222	unexpected	111	111	be	simple-agrmt	the customers is young	3
223	expected	112	112	be	simple-agrmt	the customers are short	3
224	unexpected	112	112	be	simple-agrmt	the customers is short	3
225	expected	113	113	laugh	simple-agrmt	the officers laugh	3
226	unexpected	113	113	laugh	simple-agrmt	the officers laughs	3
227	expected	114	114	swim	simple-agrmt	the officers swim	3
228	unexpected	114	114	swim	simple-agrmt	the officers swims	3
229	expected	115	115	smile	simple-agrmt	the officers smile	3
230	unexpected	115	115	smile	simple-agrmt	the officers smiles	3
231	expected	116	116	be	simple-agrmt	the officers are tall	3
232	unexpected	116	116	be	simple-agrmt	the officers is tall	3
233	expected	117	117	be	simple-agrmt	the officers are old	3
234	unexpected	117	117	be	simple-agrmt	the officers is old	3
235	expected	118	118	be	simple-agrmt	the officers are young	3
236	unexpected	118	118	be	simple-agrmt	the officers is young	3
237	expected	119	119	be	simple-agrmt	the officers are short	3
238	unexpected	119	119	be	simple-agrmt	the officers is short	3
239	expected	120	120	laugh	simple-agrmt	the teachers laugh	3
240	unexpected	120	120	laugh	simple-agrmt	the teachers laughs	3
241	expected	121	121	swim	simple-agrmt	the teachers swim	3
242	unexpected	121	121	swim	simple-agrmt	the teachers swims	3
243	expected	122	122	smile	simple-agrmt	the teachers smile	3
244	unexpected	122	122	smile	simple-agrmt	the teachers smiles	3
245	expected	123	123	be	simple-agrmt	the teachers are tall	3
246	unexpected	123	123	be	simple-agrmt	the teachers is tall	3
247	expected	124	124	be	simple-agrmt	the teachers are old	3
248	unexpected	124	124	be	simple-agrmt	the teachers is old	3
249	expected	125	125	be	simple-agrmt	the teachers are young	3
250	unexpected	125	125	be	simple-agrmt	the teachers is young	3
251	expected	126	126	be	simple-agrmt	the teachers are short	3
252	unexpected	126	126	be	simple-agrmt	the teachers is short	3
253	expected	127	127	laugh	simple-agrmt	the senators laugh	3
254	unexpected	127	127	laugh	simple-agrmt	the senators laughs	3
255	expected	128	128	swim	simple-agrmt	the senators swim	3
256	unexpected	128	128	swim	simple-agrmt	the senators swims	3
257	expected	129	129	smile	simple-agrmt	the senators smile	3
258	unexpected	129	129	smile	simple-agrmt	the senators smiles	3
259	expected	130	130	be	simple-agrmt	the senators are tall	3
260	unexpected	130	130	be	simple-agrmt	the senators is tall	3
261	expected	131	131	be	simple-agrmt	the senators are old	3
262	unexpected	131	131	be	simple-agrmt	the senators is old	3
263	expected	132	132	be	simple-agrmt	the senators are young	3
264	unexpected	132	132	be	simple-agrmt	the senators is young	3
265	expected	133	133	be	simple-agrmt	the senators are short	3
266	unexpected	133	133	be	simple-agrmt	the senators is short	3
267	expected	134	134	laugh	simple-agrmt	the consultants laugh	3
268	unexpected	134	134	laugh	simple-agrmt	the consultants laughs	3
269	expected	135	135	swim	simple-agrmt	the consultants swim	3
270	unexpected	135	135	swim	simple-agrmt	the consultants swims	3
271	expected	136	136	smile	simple-agrmt	the consultants smile	3
272	unexpected	136	136	smile	simple-agrmt	the consultants smiles	3
273	expected	137	137	be	simple-agrmt	the consultants are tall	3
274	unexpected	137	137	be	simple-agrmt	the consultants is tall	3
275	expected	138	138	be	simple-agrmt	the consultants are old	3
276	unexpected	138	138	be	simple-agrmt	the consultants is old	3
277	expected	139	139	be	simple-agrmt	the consultants are young	3
278	unexpected	139	139	be	simple-agrmt	the consultants is young	3
279	expected	140	140	be	simple-agrmt	the consultants are short	3
280	unexpected	140	140	be	simple-agrmt	the consultants is short	3
